id;railway;name;customhouse;x_coord;y_coord
2220;КАЗАХСТАНСКАЯ;МАЛДЫБАЙ;РЕСПУБЛИКА КАЗАХСТАН , 080000 ЖАМБЫЛСКАЯ ОБЛАСТЬ, Г.ТАРАЗ, УЛ.НИЕТКАЛИЕВА 9;42.903719;71.362094
2221;КАЗАХСТАНСКАЯ;ДОСТЫК;РЕСПУБЛИКА КАЗАХСТАН , АЛМАТИНСКАЯ ОБЛ., АЛАКОЛЬСКИЙ Р-Н, СТ.ДОСТЫК, УЛ.ПРИ;46.275847;80.26342
2222;КУЙБЫШЕВСКАЯ;ЛАИШЕВКА;432072 Г. УЛЬЯНОВСК, ЗАВОЛЖСКИЙ РАЙОН, 42-Й ПРОЕЗД ИНЖЕНЕРНЫЙ, ЗД. 14, СТР.;54.368223;48.666428
2223;ЮЖНО-УРАЛЬСКАЯ;КРАСНАЯ ГОРКА;456910 ЧЕЛЯБИНСКАЯ ОБЛ., Г.САТКА, УЛ.ПРОЛЕТАРСКАЯ, Д. 40;55.038047;58.972494
2224;МОСКОВСКАЯ;ПЕРСПЕКТИВНАЯ;248926 Г.КАЛУГА, УЛ.АВТОМОБИЛЬНАЯ, Д.1;54.572394;36.361961
2225;ГОРЬКОВСКАЯ;КАЛИКИНО;606016 НИЖЕГОРОДСКАЯ ОБЛ., Г. ДЗЕРЖИНСК, НИЖЕГОРОДСКОЕ Ш., 85, КОРП. 1;56.292098;43.596238
2226;МОСКОВСКАЯ;ЯНИЧКИНО;142000 МОСКОВСКАЯ ОБЛ., Г.ДОМОДЕДОВО, УЛ.ЛОГИСТИЧЕСКАЯ, Д.1/6, КОРП.7Б;55.474056;37.736761
2227;ОКТЯБРЬСКАЯ;ВИЧКА;185035 РЕСПУБЛИКА КАРЕЛИЯ, Г. ПЕТРОЗАВОДСК, УЛ. ФРИДРИХА ЭНГЕЛЬСА, Д. 25, Б;61.790963;34.356221
2228;ДАЛЬНЕВОСТОЧНАЯ;МЫС АСТАФЬЕВА-ПЕРЕВАЛКА;692900 ПРИМОРСКИЙ КРАЙ, Г.НАХОДКА, УЛ. ПОРТОВАЯ, Д. 48;42.808165;132.885471
2229;ЗАПАДНО-СИБИРСКАЯ;МИХАЙЛОВКА-АЛТАЙСКАЯ;658920 АЛТАЙСКИЙ КРАЙ, С.КУЛУНДА, УЛ.ЦЕЛИННАЯ, Д. 50;52.563807;78.912488
